question_id,tp,fn,fp,precision,recall,f1
2306,0,2,5,0.0,0.0,0.0
2303,3,1,2,0.6,0.75,0.6666666666666665
2301,5,1,0,1.0,0.8333333333333334,0.9090909090909091
2309,0,1,5,0.0,0.0,0.0
2320,1,0,4,0.2,1.0,0.33333333333333337
2316,2,5,3,0.4,0.2857142857142857,0.3333333333333333
2313,0,1,5,0.0,0.0,0.0
2311,0,0,5,0.0,0.0,0.0
2319,2,2,3,0.4,0.5,0.4444444444444445
2210,2,2,3,0.4,0.5,0.4444444444444445
2330,3,2,2,0.6,0.6,0.6
2206,0,0,5,0.0,0.0,0.0
2326,1,2,4,0.2,0.3333333333333333,0.25
2325,0,0,5,0.0,0.0,0.0
2323,0,0,5,0.0,0.0,0.0
2209,0,0,5,0.0,0.0,0.0
2100,0,1,5,0.0,0.0,0.0
2220,0,0,5,0.0,0.0,0.0
2340,3,2,2,0.6,0.6,0.6
2339,1,1,4,0.2,0.5,0.28571428571428575
2338,1,0,4,0.2,1.0,0.33333333333333337
2337,1,1,4,0.2,0.5,0.28571428571428575
2336,0,3,5,0.0,0.0,0.0
2335,2,1,3,0.4,0.6666666666666666,0.5
2334,5,1,0,1.0,0.8333333333333334,0.9090909090909091
2333,0,0,5,0.0,0.0,0.0
2219,0,3,5,0.0,0.0,0.0
2232,3,0,2,0.6,1.0,0.7499999999999999
2110,0,1,5,0.0,0.0,0.0
2352,4,2,1,0.8,0.6666666666666666,0.7272727272727272
2351,2,0,3,0.4,1.0,0.5714285714285715
2107,1,2,4,0.2,0.3333333333333333,0.25
2106,4,2,1,0.8,0.6666666666666666,0.7272727272727272
2105,4,7,1,0.8,0.36363636363636365,0.5000000000000001
2347,3,2,2,0.6,0.6,0.6
2225,3,4,2,0.6,0.42857142857142855,0.5
2102,3,1,2,0.6,0.75,0.6666666666666665
2344,0,2,5,0.0,0.0,0.0
2343,0,0,5,0.0,0.0,0.0
2001,3,0,2,0.6,1.0,0.7499999999999999
2364,1,2,4,0.2,0.3333333333333333,0.25
2121,1,0,4,0.2,1.0,0.33333333333333337
2120,0,1,5,0.0,0.0,0.0
2362,2,3,3,0.4,0.4,0.4000000000000001
2361,0,0,5,0.0,0.0,0.0
2119,3,1,2,0.6,0.75,0.6666666666666665
2239,2,4,3,0.4,0.3333333333333333,0.3636363636363636
2238,0,0,5,0.0,0.0,0.0
2116,0,0,5,0.0,0.0,0.0
2358,0,0,5,0.0,0.0,0.0
2236,1,2,4,0.2,0.3333333333333333,0.25
2235,2,2,3,0.4,0.5,0.4444444444444445
2355,3,1,2,0.6,0.75,0.6666666666666665
2354,0,4,5,0.0,0.0,0.0
2133,5,2,0,1.0,0.7142857142857143,0.8333333333333333
2375,0,3,5,0.0,0.0,0.0
2374,0,1,5,0.0,0.0,0.0
2131,3,6,2,0.6,0.3333333333333333,0.42857142857142855
2251,2,0,3,0.4,1.0,0.5714285714285715
2370,0,1,5,0.0,0.0,0.0
2129,3,5,2,0.6,0.375,0.4615384615384615
2128,1,1,4,0.2,0.5,0.28571428571428575
2127,2,2,3,0.4,0.5,0.4444444444444445
2005,2,3,3,0.4,0.4,0.4000000000000001
2247,1,1,4,0.2,0.5,0.28571428571428575
2004,5,0,0,1.0,1.0,1.0
2367,1,4,4,0.2,0.2,0.20000000000000004
2124,0,0,5,0.0,0.0,0.0
2123,1,0,4,0.2,1.0,0.33333333333333337
2365,0,0,5,0.0,0.0,0.0
2144,0,0,5,0.0,0.0,0.0
2386,2,0,3,0.4,1.0,0.5714285714285715
2143,3,0,2,0.6,1.0,0.7499999999999999
2021,1,5,4,0.2,0.16666666666666666,0.1818181818181818
2263,1,2,4,0.2,0.3333333333333333,0.25
2020,3,3,2,0.6,0.5,0.5454545454545454
2262,0,0,5,0.0,0.0,0.0
2140,3,1,2,0.6,0.75,0.6666666666666665
2382,0,1,5,0.0,0.0,0.0
2381,0,3,5,0.0,0.0,0.0
2019,0,1,5,0.0,0.0,0.0
2139,3,0,2,0.6,1.0,0.7499999999999999
2259,0,0,5,0.0,0.0,0.0
2379,0,1,5,0.0,0.0,0.0
2136,3,2,2,0.6,0.6,0.6
2378,3,1,2,0.6,0.75,0.6666666666666665
2377,0,3,5,0.0,0.0,0.0
2134,1,0,4,0.2,1.0,0.33333333333333337
2376,0,2,5,0.0,0.0,0.0
2276,0,0,5,0.0,0.0,0.0
2154,1,0,4,0.2,1.0,0.33333333333333337
2032,0,4,5,0.0,0.0,0.0
2031,0,0,5,0.0,0.0,0.0
2273,1,1,4,0.2,0.5,0.28571428571428575
2151,0,4,5,0.0,0.0,0.0
2393,0,1,5,0.0,0.0,0.0
2392,5,1,0,1.0,0.8333333333333334,0.9090909090909091
2391,1,3,4,0.2,0.25,0.22222222222222224
2029,2,3,3,0.4,0.4,0.4000000000000001
2149,4,3,1,0.8,0.5714285714285714,0.6666666666666666
2269,0,1,5,0.0,0.0,0.0
2268,2,2,3,0.4,0.5,0.4444444444444445
2388,1,1,4,0.2,0.5,0.28571428571428575
2266,2,1,3,0.4,0.6666666666666666,0.5
2045,2,1,3,0.4,0.6666666666666666,0.5
2287,2,0,3,0.4,1.0,0.5714285714285715
2165,3,1,2,0.6,0.75,0.6666666666666665
2043,0,0,5,0.0,0.0,0.0
2285,0,3,5,0.0,0.0,0.0
2162,0,0,5,0.0,0.0,0.0
2040,0,1,5,0.0,0.0,0.0
2282,4,10,1,0.8,0.2857142857142857,0.4210526315789473
2281,0,2,5,0.0,0.0,0.0
2039,1,0,4,0.2,1.0,0.33333333333333337
2159,0,0,5,0.0,0.0,0.0
2279,0,0,5,0.0,0.0,0.0
2157,0,0,5,0.0,0.0,0.0
2035,2,3,3,0.4,0.4,0.4000000000000001
2277,3,3,2,0.6,0.5,0.5454545454545454
2056,1,2,4,0.2,0.3333333333333333,0.25
2055,0,0,5,0.0,0.0,0.0
2297,1,0,4,0.2,1.0,0.33333333333333337
2175,5,3,0,1.0,0.625,0.7692307692307693
2053,2,0,3,0.4,1.0,0.5714285714285715
2052,2,2,3,0.4,0.5,0.4444444444444445
2294,2,3,3,0.4,0.4,0.4000000000000001
2293,4,1,1,0.8,0.8,0.8000000000000002
2171,0,2,5,0.0,0.0,0.0
2170,0,0,5,0.0,0.0,0.0
2048,3,3,2,0.6,0.5,0.5454545454545454
2047,1,0,4,0.2,1.0,0.33333333333333337
2289,5,7,0,1.0,0.4166666666666667,0.5882352941176471
2288,0,3,5,0.0,0.0,0.0
2188,3,1,2,0.6,0.75,0.6666666666666665
2187,0,1,5,0.0,0.0,0.0
2186,0,1,5,0.0,0.0,0.0
2185,0,0,5,0.0,0.0,0.0
2184,3,8,2,0.6,0.2727272727272727,0.37499999999999994
2061,2,1,3,0.4,0.6666666666666666,0.5
2181,0,1,5,0.0,0.0,0.0
2058,2,0,3,0.4,1.0,0.5714285714285715
2057,1,3,4,0.2,0.25,0.22222222222222224
2299,3,2,2,0.6,0.6,0.6
2191,3,2,2,0.6,0.6,0.6
2078,0,0,5,0.0,0.0,0.0
2077,0,1,5,0.0,0.0,0.0
2076,1,2,4,0.2,0.3333333333333333,0.25
2075,1,1,4,0.2,0.5,0.28571428571428575
2074,2,4,3,0.4,0.3333333333333333,0.3636363636363636
2073,3,4,2,0.6,0.42857142857142855,0.5
2072,2,3,3,0.4,0.4,0.4000000000000001
2071,1,6,4,0.2,0.14285714285714285,0.16666666666666666
2069,1,2,4,0.2,0.3333333333333333,0.25
2189,0,0,5,0.0,0.0,0.0
2080,0,3,5,0.0,0.0,0.0
2088,3,2,2,0.6,0.6,0.6
2086,0,0,5,0.0,0.0,0.0
2084,0,1,5,0.0,0.0,0.0
2079,0,0,5,0.0,0.0,0.0
2091,4,5,1,0.8,0.4444444444444444,0.5714285714285714
2099,2,2,3,0.4,0.5,0.4444444444444445
2094,1,0,4,0.2,1.0,0.33333333333333337
1909,2,1,3,0.4,0.6666666666666666,0.5
1906,1,0,4,0.2,1.0,0.33333333333333337
1903,2,2,3,0.4,0.5,0.4444444444444445
1919,0,0,5,0.0,0.0,0.0
1918,1,0,4,0.2,1.0,0.33333333333333337
1914,4,2,1,0.8,0.6666666666666666,0.7272727272727272
1911,2,0,3,0.4,1.0,0.5714285714285715
1920,3,0,2,0.6,1.0,0.7499999999999999
1928,2,1,3,0.4,0.6666666666666666,0.5
1926,1,0,4,0.2,1.0,0.33333333333333337
1924,0,0,5,0.0,0.0,0.0
1932,2,0,3,0.4,1.0,0.5714285714285715
1930,4,3,1,0.8,0.5714285714285714,0.6666666666666666
1938,0,2,5,0.0,0.0,0.0
1936,2,1,3,0.4,0.6666666666666666,0.5
1934,1,0,4,0.2,1.0,0.33333333333333337
1942,4,0,1,0.8,1.0,0.888888888888889
1949,2,1,3,0.4,0.6666666666666666,0.5
1947,4,2,1,0.8,0.6666666666666666,0.7272727272727272
1945,5,1,0,1.0,0.8333333333333334,0.9090909090909091
1954,1,0,4,0.2,1.0,0.33333333333333337
1952,0,0,5,0.0,0.0,0.0
1950,3,1,2,0.6,0.75,0.6666666666666665
1958,5,3,0,1.0,0.625,0.7692307692307693
1965,0,0,5,0.0,0.0,0.0
1961,2,1,3,0.4,0.6666666666666666,0.5
1969,1,5,4,0.2,0.16666666666666666,0.1818181818181818
1967,3,2,2,0.6,0.6,0.6
1976,3,0,2,0.6,1.0,0.7499999999999999
1974,5,0,0,1.0,1.0,1.0
1971,0,4,5,0.0,0.0,0.0
1979,0,0,5,0.0,0.0,0.0
1977,0,0,5,0.0,0.0,0.0
1986,1,3,4,0.2,0.25,0.22222222222222224
1984,4,1,1,0.8,0.8,0.8000000000000002
1982,0,1,5,0.0,0.0,0.0
1980,4,4,1,0.8,0.5,0.6153846153846154
1998,2,1,3,0.4,0.6666666666666666,0.5
1996,4,4,1,0.8,0.5,0.6153846153846154
1994,1,0,4,0.2,1.0,0.33333333333333337
1992,1,0,4,0.2,1.0,0.33333333333333337
1999,0,0,5,0.0,0.0,0.0
1898,2,5,3,0.4,0.2857142857142857,0.3333333333333333
1896,1,1,4,0.2,0.5,0.28571428571428575
1894,1,2,4,0.2,0.3333333333333333,0.25
1895,2,0,3,0.4,1.0,0.5714285714285715
1897,0,1,5,0.0,0.0,0.0
1899,5,3,0,1.0,0.625,0.7692307692307693
1991,0,0,5,0.0,0.0,0.0
1993,4,3,1,0.8,0.5714285714285714,0.6666666666666666
1995,0,1,5,0.0,0.0,0.0
1997,1,1,4,0.2,0.5,0.28571428571428575
1989,0,0,5,0.0,0.0,0.0
1981,4,0,1,0.8,1.0,0.888888888888889
1983,3,1,2,0.6,0.75,0.6666666666666665
1985,1,3,4,0.2,0.25,0.22222222222222224
1990,0,0,5,0.0,0.0,0.0
1978,0,0,5,0.0,0.0,0.0
1970,3,2,2,0.6,0.6,0.6
1973,0,1,5,0.0,0.0,0.0
1975,0,1,5,0.0,0.0,0.0
1966,0,0,5,0.0,0.0,0.0
1968,0,2,5,0.0,0.0,0.0
1960,0,0,5,0.0,0.0,0.0
1962,1,1,4,0.2,0.5,0.28571428571428575
1956,4,0,1,0.8,1.0,0.888888888888889
1959,0,1,5,0.0,0.0,0.0
1951,0,0,5,0.0,0.0,0.0
1953,2,1,3,0.4,0.6666666666666666,0.5
1944,1,1,4,0.2,0.5,0.28571428571428575
1946,1,4,4,0.2,0.2,0.20000000000000004
1948,0,0,5,0.0,0.0,0.0
1941,2,0,3,0.4,1.0,0.5714285714285715
1943,2,3,3,0.4,0.4,0.4000000000000001
1935,2,0,3,0.4,1.0,0.5714285714285715
1937,0,0,5,0.0,0.0,0.0
1939,1,2,4,0.2,0.3333333333333333,0.25
1931,1,0,4,0.2,1.0,0.33333333333333337
1922,0,0,5,0.0,0.0,0.0
1925,0,2,5,0.0,0.0,0.0
1927,1,2,4,0.2,0.3333333333333333,0.25
1929,1,0,4,0.2,1.0,0.33333333333333337
1921,0,1,5,0.0,0.0,0.0
1912,3,6,2,0.6,0.3333333333333333,0.42857142857142855
1916,3,2,2,0.6,0.6,0.6
1910,4,2,1,0.8,0.6666666666666666,0.7272727272727272
1900,5,3,0,1.0,0.625,0.7692307692307693
1904,1,1,4,0.2,0.5,0.28571428571428575
1908,2,2,3,0.4,0.5,0.4444444444444445
2093,0,1,5,0.0,0.0,0.0
2098,0,1,5,0.0,0.0,0.0
2090,4,1,1,0.8,0.8,0.8000000000000002
2092,1,3,4,0.2,0.25,0.22222222222222224
2083,0,2,5,0.0,0.0,0.0
2085,0,0,5,0.0,0.0,0.0
2087,3,1,2,0.6,0.75,0.6666666666666665
2089,4,5,1,0.8,0.4444444444444444,0.5714285714285714
2081,0,0,5,0.0,0.0,0.0
2068,0,0,5,0.0,0.0,0.0
2192,3,2,2,0.6,0.6,0.6
2193,4,4,1,0.8,0.5,0.6153846153846154
2194,0,0,5,0.0,0.0,0.0
2195,5,3,0,1.0,0.625,0.7692307692307693
2196,3,2,2,0.6,0.6,0.6
2197,3,5,2,0.6,0.375,0.4615384615384615
2198,3,5,2,0.6,0.375,0.4615384615384615
2199,0,0,5,0.0,0.0,0.0
2190,4,5,1,0.8,0.4444444444444444,0.5714285714285714
2070,0,1,5,0.0,0.0,0.0
2178,0,1,5,0.0,0.0,0.0
2179,0,3,5,0.0,0.0,0.0
2059,1,0,4,0.2,1.0,0.33333333333333337
2182,2,5,3,0.4,0.2857142857142857,0.3333333333333333
2062,1,0,4,0.2,1.0,0.33333333333333337
2063,0,0,5,0.0,0.0,0.0
2064,1,3,4,0.2,0.25,0.22222222222222224
2065,2,2,3,0.4,0.5,0.4444444444444445
2066,3,3,2,0.6,0.5,0.5454545454545454
2067,0,0,5,0.0,0.0,0.0
2167,0,0,5,0.0,0.0,0.0
2168,3,0,2,0.6,1.0,0.7499999999999999
2169,2,3,3,0.4,0.4,0.4000000000000001
2049,0,0,5,0.0,0.0,0.0
2292,0,0,5,0.0,0.0,0.0
2050,1,2,4,0.2,0.3333333333333333,0.25
2051,0,0,5,0.0,0.0,0.0
2173,0,2,5,0.0,0.0,0.0
2295,2,0,3,0.4,1.0,0.5714285714285715
2296,2,2,3,0.4,0.5,0.4444444444444445
2054,2,2,3,0.4,0.5,0.4444444444444445
2176,0,0,5,0.0,0.0,0.0
2298,0,0,5,0.0,0.0,0.0
2290,0,1,5,0.0,0.0,0.0
2156,2,2,3,0.4,0.5,0.4444444444444445
2278,3,1,2,0.6,0.75,0.6666666666666665
2036,1,0,4,0.2,1.0,0.33333333333333337
2037,0,0,5,0.0,0.0,0.0
2038,2,1,3,0.4,0.6666666666666666,0.5
2280,5,1,0,1.0,0.8333333333333334,0.9090909090909091
2160,5,1,0,1.0,0.8333333333333334,0.9090909090909091
2161,0,0,5,0.0,0.0,0.0
2283,0,1,5,0.0,0.0,0.0
2284,0,1,5,0.0,0.0,0.0
2164,0,0,5,0.0,0.0,0.0
2286,1,0,4,0.2,1.0,0.33333333333333337
2044,5,3,0,1.0,0.625,0.7692307692307693
2166,0,0,5,0.0,0.0,0.0
2387,3,4,2,0.6,0.42857142857142855,0.5
2145,2,0,3,0.4,1.0,0.5714285714285715
2025,3,1,2,0.6,0.75,0.6666666666666665
2026,0,1,5,0.0,0.0,0.0
2027,2,0,3,0.4,1.0,0.5714285714285715
2028,2,0,3,0.4,1.0,0.5714285714285715
2390,1,0,4,0.2,1.0,0.33333333333333337
2270,3,0,2,0.6,1.0,0.7499999999999999
2271,1,2,4,0.2,0.3333333333333333,0.25
2272,1,1,4,0.2,0.5,0.28571428571428575
2030,1,1,4,0.2,0.5,0.28571428571428575
2152,3,3,2,0.6,0.5,0.5454545454545454
2153,2,1,3,0.4,0.6666666666666666,0.5
2275,0,0,5,0.0,0.0,0.0
2033,4,0,1,0.8,1.0,0.888888888888889
2155,1,1,4,0.2,0.5,0.28571428571428575
2255,0,0,5,0.0,0.0,0.0
2013,3,2,2,0.6,0.6,0.6
2135,0,0,5,0.0,0.0,0.0
2257,3,4,2,0.6,0.42857142857142855,0.5
2015,0,2,5,0.0,0.0,0.0
2016,3,1,2,0.6,0.75,0.6666666666666665
2017,4,0,1,0.8,1.0,0.888888888888889
2018,5,3,0,1.0,0.625,0.7692307692307693
2380,2,0,3,0.4,1.0,0.5714285714285715
2260,0,2,5,0.0,0.0,0.0
2261,2,2,3,0.4,0.5,0.4444444444444445
2383,1,0,4,0.2,1.0,0.33333333333333337
2141,2,1,3,0.4,0.6666666666666666,0.5
2384,2,1,3,0.4,0.6666666666666666,0.5
2142,0,0,5,0.0,0.0,0.0
2264,2,1,3,0.4,0.6666666666666666,0.5
2022,3,2,2,0.6,0.6,0.6
2265,1,0,4,0.2,1.0,0.33333333333333337
2023,3,5,2,0.6,0.375,0.4615384615384615
2244,1,0,4,0.2,1.0,0.33333333333333337
2245,0,0,5,0.0,0.0,0.0
2003,0,2,5,0.0,0.0,0.0
2246,3,1,2,0.6,0.75,0.6666666666666665
2368,0,0,5,0.0,0.0,0.0
2126,0,0,5,0.0,0.0,0.0
2248,1,3,4,0.2,0.25,0.22222222222222224
2249,3,6,2,0.6,0.3333333333333333,0.42857142857142855
2007,4,3,1,0.8,0.5714285714285714,0.6666666666666666
2009,1,0,4,0.2,1.0,0.33333333333333337
2371,4,2,1,0.8,0.6666666666666666,0.7272727272727272
2252,1,0,4,0.2,1.0,0.33333333333333337
2010,5,2,0,1.0,0.7142857142857143,0.8333333333333333
2011,2,0,3,0.4,1.0,0.5714285714285715
2254,1,0,4,0.2,1.0,0.33333333333333337
2012,0,1,5,0.0,0.0,0.0
2233,2,0,3,0.4,1.0,0.5714285714285715
2356,1,0,4,0.2,1.0,0.33333333333333337
2357,4,0,1,0.8,1.0,0.888888888888889
2115,0,1,5,0.0,0.0,0.0
2237,2,2,3,0.4,0.5,0.4444444444444445
2359,5,2,0,1.0,0.7142857142857143,0.8333333333333333
2117,0,2,5,0.0,0.0,0.0
2118,0,0,5,0.0,0.0,0.0
2360,0,1,5,0.0,0.0,0.0
2240,4,1,1,0.8,0.8,0.8000000000000002
2241,2,1,3,0.4,0.6666666666666666,0.5
2242,3,3,2,0.6,0.5,0.5454545454545454
2000,2,2,3,0.4,0.5,0.4444444444444445
2122,1,0,4,0.2,1.0,0.33333333333333337
2109,1,0,4,0.2,1.0,0.33333333333333337
2101,0,1,5,0.0,0.0,0.0
2223,0,0,5,0.0,0.0,0.0
2103,1,1,4,0.2,0.5,0.28571428571428575
2104,1,0,4,0.2,1.0,0.33333333333333337
2226,3,3,2,0.6,0.5,0.5454545454545454
2227,4,2,1,0.8,0.6666666666666666,0.7272727272727272
2228,1,2,4,0.2,0.3333333333333333,0.25
2350,1,3,4,0.2,0.25,0.22222222222222224
2230,4,5,1,0.8,0.4444444444444444,0.5714285714285714
2231,4,2,1,0.8,0.6666666666666666,0.7272727272727272
2353,1,2,4,0.2,0.3333333333333333,0.25
2111,0,1,5,0.0,0.0,0.0
2211,0,1,5,0.0,0.0,0.0
2212,0,0,5,0.0,0.0,0.0
2213,0,0,5,0.0,0.0,0.0
2214,0,0,5,0.0,0.0,0.0
2215,3,0,2,0.6,1.0,0.7499999999999999
2216,0,1,5,0.0,0.0,0.0
2217,0,2,5,0.0,0.0,0.0
2218,1,2,4,0.2,0.3333333333333333,0.25
2341,1,0,4,0.2,1.0,0.33333333333333337
2342,1,0,4,0.2,1.0,0.33333333333333337
2329,1,0,4,0.2,1.0,0.33333333333333337
2200,0,0,5,0.0,0.0,0.0
2202,0,0,5,0.0,0.0,0.0
2204,0,0,5,0.0,0.0,0.0
2205,1,1,4,0.2,0.5,0.28571428571428575
2328,0,2,5,0.0,0.0,0.0
2331,0,2,5,0.0,0.0,0.0
2318,0,1,5,0.0,0.0,0.0
2310,1,2,4,0.2,0.3333333333333333,0.25
2312,1,1,4,0.2,0.5,0.28571428571428575
2315,5,1,0,1.0,0.8333333333333334,0.9090909090909091
2317,0,1,5,0.0,0.0,0.0
2307,2,3,3,0.4,0.4,0.4000000000000001
2300,3,2,2,0.6,0.6,0.6
2302,1,2,4,0.2,0.3333333333333333,0.25
2305,0,1,5,0.0,0.0,0.0
